"pac_name_affiliate","country_of_origin_parent_company","total","dems","repubs","year"
"Rio Tinto America","UK/Rio Tinto Group","$33,500","$14,500","$19,000",2011
"Roche Diagnostics (Roche Holdings)","Switzerland/Roche Holdings","$103,000","$50,000","$53,000",2011
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$234,000","$87,000","$147,000",2011
"Saab North America","Sweden/Saab AB","$4,500","$2,500","$2,000",2011
"Sabic Innovative Plastics","Saudi Arabia/SABIC","$7,000","$6,000","$1,000",2011
"Safelite Group","Belgium/D'Ieteren SA","$3,500","$3,500","$0",2011
"Samsung Electronics America","South Korea/Samsung Group","$394,000","$214,500","$179,500",2011
"Sanofi US (Sanofi)","France/Sanofi","$233,000","$122,500","$110,500",2011
"Santander Bank (Banco Santander)","Spain/Banco Santander","$86,500","$54,000","$32,500",2011
"SAP America","Germany/SAP SE","$88,500","$43,500","$45,000",2011
"Schwan's Co","South Korea/CJ CheilJedang","$162,500","$49,000","$113,500",2011
"Securitas Security Services USA","Sweden/Securitas AB","$0","$0","$0",2011
"Serco Inc","UK/Serco Group","$117,500","$69,000","$48,500",2011
"Shell USA","UK/Shell plc","$5,000","$0","$5,000",2011
"Siemens Corp (Siemens AG)","Germany/Siemens AG","$184,000","$101,500","$82,500",2011
"Smith & Nephew","UK/Smith & Nephew Plc","$96,000","$56,500","$39,500",2011
"Smithfield Foods","China/WH Group","$41,000","$19,000","$22,000",2011
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$33,500","$16,500","$17,000",2011
"Smiths Group Services Corp (Smiths Group)","UK/Smiths Group PLC","$29,948","$13,500","$16,448",2011
"Sodexo Inc","France/Sodexo","$2,900","$2,900","$0",2011
"Solvay America","Belgium/Solvay SA","$65,000","$35,500","$29,500",2011
"Sony Music Entertainment (Sony Corp)","Japan/Sony Corp","$32,500","$19,500","$13,000",2011
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$42,500","$26,000","$16,500",2011
"Spark Therapeutics (Roche Holdings)","Switzerland/Roche Holdings","$8,500","$6,500","$2,000",2011
"SSAB Americas","Sweden/SSAB AB","$31,500","$9,000","$22,500",2011
"Standard Insurance Co","Japan/Meiji Yasuda Life Insurance","$4,500","$2,000","$2,500",2011
"Steris Corp","Ireland/Steris PLC","$65,000","$27,500","$37,500",2011
"SUEZ Water","France/SUEZ Environnement","$20,500","$18,500","$2,000",2011
"Sun Life Financial (Sun Life Financial)","Canada/Sun Life Financial","$132,000","$75,000","$57,000",2011
"Sunovion Pharmaceuticals (Sumitomo Chemical)","Japan/Sumitomo Chemical","$107,200","$51,900","$55,300",2011
"Sunpower Corp","France/TotalEnergies","$32,000","$28,500","$3,500",2011
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$5,000","$0","$5,000",2011
"Swiss Re America","Switzerland/Swiss Reinsurance","$0","$0","$0",2011
"Syngenta Corp","China/ChemChina","$207,000","$56,000","$151,000",2011
"Tabacalera USA (Imperial Brands)","UK/Imperial Brands","$4,321","$2,300","$2,021",2011
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$207,500","$119,000","$88,500",2011
"TD Bank USA","Canada/Toronto-Dominion Bank","$259,500","$144,500","$114,000",2011
"TE Connectivity","Switzerland/TE Connectivity","$92,000","$39,500","$52,500",2011
"TECO Energy","Canada/Emera Inc","$37,000","$4,500","$32,500",2011
"Teva Pharmaceuticals USA","Israel/Teva Pharmaceutical Industries","$72,400","$34,500","$37,900",2011
"Toyota Motor North America","Japan/Toyota Motor Corp","$1,053,977","$538,097","$515,880",2011
"Trane Technologies","Ireland/Trane Technologies","$26,300","$3,300","$23,000",2011
"TransAmerica","Netherlands/Aegon NV","$418,500","$211,000","$207,500",2011
"Transcanada USA Services (TC Energy)","Canada/TC Energy","$138,500","$30,500","$108,000",2011
"UBS Americas","Switzerland/UBS AG","$1,470,000","$775,000","$695,000",2011
"UCB Inc (UCB SA)","Belgium/UCB SA","$52,500","$31,000","$21,500",2011
"Ultra Electronics USA","UK/Ultra Electronics","$80,000","$13,500","$66,500",2011
"Universal Music Group (Universal Music Group)","Netherlands/Universal Music Group NV","$131,000","$76,000","$55,000",2011
"Valent USA (Sumitomo Chemical)","Japan/Sumitomo Chemical","$8,000","$4,500","$3,500",2011
"Varian Medical Systems (Siemens AG)","Germany/Siemens AG","$65,800","$39,300","$26,500",2011
"VNA Holding (AB Volvo)","Sweden/AB Volvo","$67,500","$40,000","$27,500",2011
"VT Halter Marine","Singapore/ST Engineering","$18,000","$1,000","$17,000",2011
"Washington Gas Light Co (AltaGas Ltd)","Canada/AltaGas Ltd","$23,400","$14,400","$9,000",2011
"Westinghouse Electric","Canada/Brookfield Business Partners","$41,000","$15,000","$26,000",2011
"WSP USA","Canada/WSP Global","$64,750","$44,250","$20,500",2011
"ZF Automotive US (ZF Friedrichshafen AG)","Germany/ZF Friedrichshafen AG","-$2,000","$0","-$2,000",2011
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$308,000","$144,000","$164,000",2011
"ABB Group","Switzerland/Asea Brown Boveri","$5,500","$3,500","$2,000",2012
"Abengoa Solar","Spain/Abengoa SA","$0","$0","$0",2012
"Accenture (Accenture)","Ireland/Accenture plc","$0","$0","$0",2012
"Accenture (Accenture)","Ireland/Accenture plc","$304,500","$160,000","$144,500",2012
"ACE INA","Switzerland/ACE Ltd","$281,500","$121,500","$160,000",2012
"Advance America Cash Advance Centers (Grupo Salinas)","Mexico/Grupo Salinas","$115,750","$22,000","$93,750",2012
"Advanced BioHealing (Shire Plc)","UK/Shire Plc","$37,250","$19,750","$17,500",2012
"Agrium US","Canada/Agrium Inc","$112","$0","$112",2012
"Air Liquide America","France/L'Air Liquide SA","$25,500","$12,000","$9,000",2012
"Alcatel-Lucent USA (Alcatel-Lucent)","France/Alcatel-Lucent","$19,000","$8,000","$11,000",2012
"Alcon Laboratories (Novartis AG)","Switzerland/Novartis","$8,000","$2,000","$6,000",2012
"Alkermes Inc","Ireland/Alkermes Plc","$6,000","$1,000","$5,000",2012
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$80,750","$25,000","$55,750",2012
"Alstom","France/Alstom SA","$0","$0","$0",2012
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$0","$0","$0",2012
"Anheuser-Busch","Belgium/Anheuser-Busch InBev","$806,381","$361,381","$445,000",2012
"AON Corp (AON plc)","UK/AON PLC","$115,000","$49,000","$66,000",2012
"APL Ltd","Singapore/Neptune Orient Lines Ltd","$35,500","$6,000","$29,500",2012
"Arcadis US","Netherlands/Arcadis NV","$184,500","$95,000","$89,500",2012
"ArcelorMittal USA","Luxembourg/ArcelorMittal","$69,500","$29,000","$40,500",2012
"Arch Capital Group (US)","UK/Arch Capital Group","$9,000","$2,000","$7,000",2012
"AREVA Inc","France/Areva Group","$106,750","$48,250","$58,500",2012
"Arkema Inc","France/Arkema","$22,500","$6,000","$16,500",2012
"Ashta Chemicals","Mexico/Bigshire Mexico","$0","$0","$0",2012
"Astellas US","Japan/Astellas Pharma","$85,500","$44,000","$41,500",2012
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$640,452","$296,952","$343,500",2012
"Atkins North America","UK/WS Atkins PLC","$2,750","$1,500","$1,250",2012
"Atlantic Marine (BAE Systems)","UK/BAE Systems","$0","$0","$0",2012
"Aviva USA","UK/Aviva PLC","$6,500","$4,000","$2,500",2012
"AXA Equitable Life Insurance (AXA)","France/AXA","$149,500","$74,000","$75,500",2012
"AXIS Specialty US Services (AXIS Capital)","UK/AXIS Captial","$3,000","$2,000","$1,000",2012
"Bacardi USA","UK/Bacardi Ltd","$16,500","$8,000","$8,500",2012
"BAE Systems (BAE Systems)","UK/BAE Systems","$737,000","$276,000","$461,000",2012
"BancWest Corp (BNP Paribas)","France/BNP Paribas","$6,000","$0","$6,000",2012
"Barclays Group US","UK/Barclays plc","$104,499","$23,500","$80,999",2012
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$113,500","$45,000","$68,500",2012
"BASF Corp","Germany/BASF SE","$411,500","$118,500","$293,000",2012
"Bayer Corp","Germany/Bayer AG","$470,000","$150,000","$320,000",2012
"BBVA Compass","Spain/Banco Bilbao Vizcaya Argentaria","$249,500","$62,000","$187,500",2012
"BMO Harris Bank (Bank of Montreal)","Canada/Bank of Montreal","$7,100","$4,300","$2,800",2012
"Boehringer Ingelheim Corp","Germany/CH Boehringer Sohn","$147,750","$81,750","$66,000",2012
"Bombardier Transportation USA (Bombardier Inc)","Canada/Bombardier Inc","$13,500","$12,500","$1,000",2012
"BP North America","UK/BP PLC","$207,000","$58,000","$149,000",2012
"Bridgestone Americas","Japan/Bridgestone Corp","$70,996","$26,000","$44,996",2012
"Bumble Bee Foods","UK/Lion Capital","$20,500","$5,500","$15,000",2012
"Burson-Marsteller (WPP Group)","UK/WPP Group","$62,750","$31,250","$31,500",2012
"Buzzi Unicem USA","Italy/Buzzi Unicem SpA","$6,250","-$500","$6,750",2012
"CalPortland Co","Japan/Taiheiyo Cement Co","$80,999","$16,500","$64,499",2012
"Carmeuse Lime","Netherlands/LVI Holding","$15,000","$5,500","$9,500",2012
"Case New Holland","Italy/Fiat SPA","$90,000","$7,500","$82,500",2012
"CEMEX Inc","Mexico/CEMEX SAB de CV","$166,500","$20,200","$146,300",2012
"Cephalon Inc (Teva Pharmaceutical Industries)","Israel/Teva Pharmaceutical Industries","$53,500","$11,500","$42,000",2012
"CGI Technologies & Solutions","Canada/CGI Group","$128,500","$61,500","$67,000",2012
"Citizens Financial Group","UK/Royal Bank of Scotland Group","$150,750","$112,750","$37,000",2012
"Cobham Management Services","UK/Cobham PLC","$148,500","$41,500","$107,000",2012
"Commonwealth-Altadis","UK/Imperial Tobacco Group","$77,000","$19,500","$57,500",2012
"Cooper Industries (Eaton Corp)","Ireland/Eaton Plc","$48,500","$3,000","$45,500",2012
"Covidien US","UK/Covidien Ltd","$249,300","$102,500","$146,800",2012
"Credit Suisse Securities","Switzerland/Credit Suisse Group","$519,000","$239,500","$279,500",2012
"CSL Behring","Australia/CSL Ltd","$43,000","$19,000","$24,000",2012
"Daiichi Sankyo Inc","Japan/Daiichi Sanyko","$218,000","$68,000","$150,000",2012
"Delphi Automotive","UK/Delphi Automotive","$36,000","$16,000","$20,000",2012
"Deutsche Bank Securities","Germany/Deutsche Bank AG","$53,900","$20,400","$33,500",2012
"DHL (Deutsche Post AG)","Germany/Deutsche Post AG","$2,000","$0","$2,000",2012
"Diageo North America (Diageo PLC)","UK/Diageo PLC","$115,065","$58,303","$56,762",2012
"Diageo North America/CT (Diageo PLC)","UK/Diageo PLC","$0","$0","$0",2012
"Direct Energy Inc","UK/Centrica Plc","$0","$0","$0",2012
"DRS Technologies","Italy/Finmeccanica SpA","$405,300","$173,000","$232,300",2012
"EADS North America","Netherlands/European Aeronautic Defence & Space Co","$240,600","$85,000","$155,600",2012
"Eaton Corp (Eaton Corp)","Ireland/Eaton Plc","$10,500","$2,500","$8,000",2012
"EDF Renewable Energy","France/EDF Group","$17,150","$10,000","$7,150",2012
"EDP Renewables NA","Portugal/EDP - Energias de Portugal","$7,500","$4,500","$3,000",2012
"Eisai Inc","Japan/Eisai Co Ltd","$82,500","$35,000","$47,500",2012
"Elbit Systems of America","Israel/Elbit Systems Ltd","$32,000","$5,500","$26,500",2012
"Embraer Aircraft Holdings","Brazil/Embraer-Empresa Brasileira de Aeronautic","$9,500","$3,500","$6,000",2012
"EMD Serono Inc","Germany/Merck KGaA","$124,500","$71,000","$53,500",2012
"EnCana Oil & Gas USA","Canada/EnCana Corp","$0","$0","$0",2012
"Essroc Corp","Italy/Italcementi Group","$6,500","$3,500","$3,000",2012
"Experian","UK/Experian","$426,000","$99,500","$326,500",2012
"Farmers Group (Zurich Insurance Group)","Switzerland/Zurich Financial Services AG","$189,900","$38,250","$151,650",2012
"First Hawaiian Bank (BNP Paribas)","France/BNP Paribas","$16,500","$13,500","$3,000",2012
"FirstGroup America (FirstGroup PLC)","UK/FirstGroup PLC","$0","$0","$0",2012
"Food Lion","Belgium/Delhaize Group","$12,500","$8,000","$3,500",2012
"Foster Wheeler","Switzerland/Foster Wheeler PLC","$0","$0","$0",2012
"Fresenius Medical Care North America","Germany/Fresenius Medical Care","$199,398","$109,500","$89,898",2012
"G4S Government Solutions (G4S plc)","UK/G4S plc","$0","$0","$0",2012
"G4S Secure Solutions (G4S plc)","UK/G4S plc","$64,000","$15,500","$48,500",2012
"GDF Suez Energy North America","France/GDF SUEZ","$58,000","$18,500","$39,500",2012
"Genentech Inc (Roche Holdings)","Switzerland/Roche Holdings","$269,500","$134,000","$135,500",2012
"General Cigar Co","Sweden/Scandinavian Tobacco Group","$5,750","$3,000","$2,750",2012
"Genzyme Corp (Sanofi)","France/Sanofi","$21,000","$10,000","$11,000",2012
"GKN Corp","UK/GKN PLC","$500","$500","$0",2012
"Glanbia Foods (Glanbia PLC)","Ireland/Glanbia PLC","$100","$0","$100",2012
"GlaxoSmithKline","UK/GlaxoSmithKline","$521,250","$239,000","$282,250",2012
"Glover Park Group (WPP Group)","UK/WPP Group","$123,665","$85,815","$37,850",2012
"Grand Trunk Western-Illinois Central RR","Canada/Canadian National Railway","$59,750","$23,500","$36,250",2012
"Great-West Life & Annuity Insurance (Power Financial Corp)","Canada/Power Financial Corp","$59,000","$31,000","$28,000",2012
"Greyhound Lines (FirstGroup PLC)","UK/FirstGroup PLC","$14,500","$9,500","$5,000",2012
"Grifols Inc (Grifols SA)","Spain/Grifols SA","$40,000","$28,000","$12,000",2012
"Gtech Corp","Italy/B&D Holding Di Marco Drago e C Sapa","$16,500","$15,500","$1,000",2012
"Heineken USA","Netherlands/L'Arche Green NV","$33,500","$15,000","$18,500",2012
"Henkel Corp (Henkel KGaA)","Germany/Henkel KGaA","$6,000","$4,000","$2,000",2012
"Herbalife International","UK/Herbalife Ltd","$66,971","$28,493","$38,478",2012
"Hill & Knowlton Strategies (WPP Group)","UK/WPP Group","$2,000","$2,000","$0",2012
"Hoffmann-La Roche (Roche Holdings)","Switzerland/Roche Holdings","$54,500","$28,000","$26,500",2012
"Holcim US","Switzerland/Holcim Ltd","$74,000","$32,000","$42,000",2012
"HSBC North America (HSBC Holdings)","UK/HSBC Holdings","$239,500","$108,500","$131,000",2012
"HSBC North America/Michigan (HSBC Holdings)","UK/HSBC Holdings","$0","$0","$0",2012
"Iberdrola Renewables (Iberdrola SA)","Spain/Iberdrola SA","$45,500","$29,000","$15,500",2012
"Iberdrola USA (Iberdrola SA)","Spain/Iberdrola SA","$10,000","$6,000","$0",2012
"Infineon Technologies","Germany/Infineon Technologies AG","$1,000","$500","$500",2012
"ING US (ING Group)","Netherlands/ING Group","$125,500","$67,000","$57,500",2012
"Ingersoll-Rand","Ireland/Ingersoll Rand Co","$26,000","$10,500","$15,500",2012
"Intelsat Holdings (Serafina SA)","Luxembourg/Serafina SA","$70,442","$29,750","$40,692",2012
"Intergraph Corp","Sweden/Hexagon AB","$2,000","$0","$2,000",2012
"International Power America","UK/International Power","$0","$0","$0",2012
"International Securities Exchange","Germany/Deutsche Boerse","$49,250","$29,000","$20,250",2012
"Jackson National Life Insurance","UK/Prudential PLC","$171,679","$30,500","$141,179",2012
"JBS USA","Brazil/JBS SA","$115,000","$20,000","$95,000",2012
"Jeld-Wen Inc (Onex Corp)","Canada/Onex Corp","$7,750","$3,250","$4,500",2012
"John Hancock Life Insurance","Canada/Manulife Financial","$131,000","$66,000","$65,000",2012
"Kawasaki Motors Corp USA","Japan/Kawasaki Heavy Industries","$0","$0","$0",2012
"Keystone Foods","Brazil/Marfrig Global Foods","$1,000","$0","$1,000",2012
"LaFarge North America","France/Lafarge SA","$79,500","$25,000","$54,500",2012
"Learjet Inc (Bombardier Inc)","Canada/Bombardier Inc","$8,000","$3,000","$5,000",2012
"Lehigh Hanson","Germany/HeidelbergCement AG","$22,500","$3,500","$19,000",2012
"Linde North America","Germany/Linde AG","$55,000","$26,000","$29,000",2012
"Louis Dreyfus Commodities (Louis Dreyfus Group)","Netherlands/Louis Dreyfus Group","$46,500","$4,000","$42,500",2012
"Louis Dreyfus Group (Louis Dreyfus Group)","Netherlands/Louis Dreyfus Group","$0","$0","$0",2012
"Lundbeck Inc","Denmark/H Lundbeck A/S","$0","$0","$0",2012
"LyondellBasell Industries","Netherlands/LyondellBasell Industries","$87,000","$19,500","$67,500",2012
"Maersk Inc (AP Moller-Maersk)","Denmark/AP Moller-Maersk","$139,500","$54,500","$85,000",2012
"Magna Holdings of America","Canada/Magna International","$1,758","$1,758","$0",2012
"Marinette Marine","Italy/Fincantieri-Cantieri Navali Italiani SpA","$26,000","$0","$26,000",2012
"Marshall & Ilsley Corp (Bank of Montreal)","Canada/Bank of Montreal","$22,000","$1,500","$20,500",2012
"Massachusetts Financial Services (Sun Life Financial)","Canada/Sun Life Financial Services","$27,500","$14,000","$13,500",2012
"MBDA Inc","UK/MBDA","$7,000","$1,000","$6,000",2012
"McDermott International (McDermott International)","Panama/McDermott International","$49,500","$3,500","$46,000",2012
"Medimmune Inc (AstraZeneca PLC)","UK/AstraZeneca PLC","$76,500","$40,000","$36,500",2012
"Metro-Goldwyn-Mayer (Sony Corp)","Japan/Sony Corp","$0","$0","$0",2012
"Millennium Pharmaceuticals (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$19,000","$10,500","$8,500",2012
"MillerCoors LLC","UK/SABMiller PLC","$215,000","$45,500","$169,500",2012
"Miraca Life Sciences","Japan/Miraca Holdings","$0","$0","$0",2012
"MorphoTrust USA","France/Safran Identity & Security","$0","$0","$0",2012
"Munich American Reassurance","Germany/Munich Re Group","$0","$0","$0",2012
"Nammo Talley Inc","Norway/Nammo AS","$4,000","$3,500","$500",2012
"National Cement Co","France/Vicat Group","$2,500","$0","$2,500",2012
"National Grid USA (National Grid plc)","UK/National Grid plc","$0","$0","$0",2012
"National Grid USA (National Grid plc)","UK/National Grid plc","$113,400","$81,900","$31,500",2012
"Natixis Global Asset Management","France/Groupe BPCE","$0","$0","$0",2012
"Nestle Purina PetCare (Nestle SA)","Switzerland/Nestle SA","$22,500","$4,750","$17,750",2012
"Nestle Waters North America (Nestle SA)","Switzerland/Nestle","$22,000","$19,000","$3,000",2012
"Nomura Holding America","Japan/Nomura Holdings","$65,500","$24,500","$41,000",2012
"Novartis Corp (Novartis AG)","Switzerland/Novartis AG","$330,200","$130,500","$199,700",2012
"Novo Nordisk","Denmark/Novo Nordisk A/S","$232,042","$118,648","$112,394",2012
"Oldcastle Materials","Ireland/CRH PLC","$207,500","$86,000","$116,500",2012
"Parsons Brinckerhoff","UK/Balfour Beatty","$162,500","$115,750","$46,750",2012
"Pernod Ricard USA","France/Pernod Ricard SA","$3,000","$0","$3,000",2012
"Peter Pan Seafoods","Japan/Maruha Nichiro Holdings","$4,750","$2,000","$2,750",2012
"Pharmavite LLC","Japan/Otsuka Pharmaceutical","$75,500","$35,000","$40,500",2012
"Philips Electronics North America (Philips Electronics)","Netherlands/Philips Electronics","$125,704","$24,394","$100,310",2012
"Philips Medical Systems (Philips Electronics)","Netherlands/Philips Electronics","$0","$0","$0",2012
"PotashCorp","Canada/Potash Corporation of Saskatchewan","$26,000","$15,000","$11,000",2012
"Putnam Investments (Power Financial Corp)","Canada/Power Financial Corp","$31,212","$8,500","$22,712",2012
"QinetiQ North America (Qinetiq Group)","UK/QinetiQ Group","$32,000","$12,000","$20,000",2012
"RBC Bank (Royal Bank of Canada)","Canada/Royal Bank of Canada","$0","$0","$0",2012
"RBC Centura Banks (Royal Bank of Canada)","Canada/Royal Bank of Canada","$0","$0","$0",2012
"Reebok International","Germany/adidas AG","$0","$0","$0",2012
"Reed Elsevier Inc","UK/Reed Elsevier Group","$103,500","$54,000","$49,500",2012
"Renewable Energy Systems Americas","UK/Renewable Energy Systems","$31,750","$17,750","$14,000",2012
"Renre North America Inc","UK/RenaissanceRe Holdings","$0","$0","$0",2012
"Res-Care Inc (Onex Corp)","Canada/Onex Corp","$28,750","$7,000","$21,750",2012
"Research In Motion","Canada/Research in Motion","$3,500","$1,000","$2,500",2012
"Rio Tinto America","UK/Rio Tinto Group","$28,000","$7,500","$20,500",2012
"Rolls-Royce North America (Rolls-Royce PLC)","UK/Rolls-Royce PLC","$263,250","$73,500","$189,750",2012
"Royal Ten Cate USA","Netherlands/Koninklijke Ten Cate","$10,250","$3,000","$7,250",2012
"Safelite Group","Belgium/D'Ieteren SA","$0","$0","$0",2012
"Safran USA (Safran SA)","France/Le Groupe Safran","$11,250","$2,500","$8,750",2012
"Sanofi US (Sanofi)","France/Sanofi","$125,500","$59,000","$66,500",2012
"Sanofi-Pasteur Inc (Sanofi)","France/Sanofi","$91,000","$34,500","$56,500",2012
"Santander Bank (Banco Santander)","Spain/Banco Santander","$0","$0","$0",2012
"SAP America","Germany/SAP AG","$90,500","$35,500","$55,000",2012
"Schaeffler Group USA","Germany/Schaeffler Group","$1,000","$0","$1,000",2012
"Securitas Security Services USA","Sweden/Securitas AB","$16,250","$1,000","$15,250",2012
"Serco Inc","UK/Serco Group","$141,400","$49,000","$92,400",2012
"SES Americom (SES SA)","Luxembourg/SES SA","$0","$0","$0",2012
"Shell Oil","Netherlands/Royal Dutch Shell","$27,000","$2,500","$24,500",2012
"Shire Pharmaceuticals (Shire Plc)","UK/Shire Plc","$0","$0","$0",2012
"Siemens Corp","Germany/Siemens AG","$290,000","$138,500","$151,500",2012
"Skilled Healthcare Group (Onex Corp)","Canada/Onex Corp","$84,250","$31,750","$52,500",2012
"Smith & Nephew","UK/Smith & Nephew Plc","$26,000","$10,000","$16,000",2012
"Smiths Group Services Corp","UK/Smiths Group PLC","$62,250","$16,500","$47,750",2012
"Sodexo Inc","France/Sodexo","$33,000","$26,000","$7,000",2012
"Solvay America","Belgium/Solvay SA","$0","$0","$0",2012
"SonoSite Inc","Japan/FujiFilm","$1,750","$750","$1,000",2012
"Sony Pictures Entertainment (Sony Corp)","Japan/Sony Corp","$221,248","$116,248","$105,000",2012
"Space Systems/Loral","Canada/MacDonald, Dettwiler & Assoc","$11,000","$4,000","$7,000",2012
"Spirit Aerosystems (Onex Corp)","Canada/Onex Corp","$31,500","$3,000","$28,500",2012
"Sprint Nextel (Sprint Nextel)","Japan/Softbank Corp","$312,306","$151,500","$160,806",2012
"SSAB Americas","Sweden/SSAB AB","$10,500","$2,000","$8,500",2012
"StandardAero","United Arab Emirates/Dubai Aerospace Enterprise","$24,000","$6,000","$18,000",2012
"Sun Life Assurance of Canada (Sun Life Financial)","Canada/Sun Life Financial","$5,000","$1,000","$4,000",2012
"Sunovion Pharmaceuticals","Japan/Sumitomo Chemical","$32,000","$13,000","$19,000",2012
"Sunpower Corp","France/Total SA","$20,500","$12,000","$7,500",2012
"Swedish Match North America (Swedish Match AB)","Sweden/Swedish Match AB","$54,509","$15,500","$39,009",2012
"Swiss Re America","Switzerland/Swiss Reinsurance","$20,000","$10,500","$9,500",2012
"Syngenta Corp","Switzerland/Syngenta AG","$255,000","$90,500","$164,500",2012
"T-Mobile USA","Germany/Deutsche Telekom AG","$473,500","$198,500","$275,000",2012
"Takeda Pharmaceuticals USA (Takeda Pharmaceutical Co)","Japan/Takeda Pharmaceutical Co","$67,000","$33,500","$33,500",2012
"Tate & Lyle Americas (Tate & Lyle)","UK/Tate & Lyle","$19,250","$3,250","$16,000",2012
"TD Bank USA","Canada/Toronto-Dominion Bank","$38,500","$18,500","$17,500",2012
"TE Connectivity","Switzerland/TE Connectivity","$62,000","$11,500","$50,500",2012
"Terumo BCT","Japan/Terumo Corp","$1,000","$1,000","$0",2012
"Teva Pharmaceuticals USA (Teva Pharmaceutical Industries)","Israel/Teva Pharmaceutical Industries","$204,500","$94,500","$110,000",2012
"TransAmerica","Netherlands/Aegon NV","$237,000","$107,500","$129,500",2012
"Transcanada USA Services","Canada/TransCanada Corp","$0","$0","$0",2012
"Tronox Inc","Australia/Tronox Ltd","$500","$0","$500",2012
"Tyco International","Ireland/Tyco International","$360,742","$120,000","$240,742",2012
"UBS Americas","Switzerland/UBS AG","$861,500","$461,500","$400,000",2012
"Ultra Electronics Prologic","UK/Ultra Electronics","$0","$0","$0",2012
"UnionBanCal Corp","Japan/Mitsubishi UFJ Financial Group","$23,000","$10,500","$12,500",2012
"United Water","France/SUEZ Environnement","$27,000","$25,500","$1,500",2012
"Universal Music Group (Vivendi Universal)","France/Vivendi Universal","$95,251","$48,500","$46,751",2012
"VT Halter Marine","Singapore/ST Engineering","$5,000","$0","$5,000",2012
"Weatherford US","UK/Weatherford International","$8,000","$0","$8,000",2012
"Westfield Corp","Australia/Westfield Group of Australia","$34,353","$34,353","$0",2012
"Westinghouse Electric","Japan/Toshiba Corp","$65,700","$29,000","$36,700",2012
"Wexler & Walker Public Policy Assoc (WPP Group)","UK/WPP Group","$127,500","$51,500","$76,000",2012
"Willis North America","UK/Willis Group Holdings","$14,000","$0","$14,000",2012
"XL America","Ireland/XL Group PLC","$8,300","$7,300","$1,000",2012
"Zurich Insurance (Zurich Insurance Group)","Switzerland/Zurich Insurance Group","$164,500","$73,500","$89,000",2012
"Accenture (Accenture)","Ireland/Accenture plc","$3,000","$0","$3,000",2013
"Acreage Holdings","Canada/Acreage Holdings","$0","$0","$0",2013
"Air Liquide America","France/L'Air Liquide SA","$17,300","$14,800","$2,500",2013
"Airbus Group","Netherlands/Airbus Group","$193,500","$82,500","$111,000",2013
"Alexion Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$186,250","$104,000","$82,250",2013
"Alkermes Inc","Ireland/Alkermes Plc","$84,500","$34,500","$50,000",2013
"Allianz of America (Allianz)","Germany/Allianz AG Holding","$31,500","$20,500","$11,000",2013
"AMG Vanadium","Netherlands/AMG Advanced Metallurgical Group","$2,525","$0","$2,525",2013
"Anheuser-Busch (Anheuser-Busch InBev)","Belgium/Anheuser-Busch InBev","$457,500","$218,000","$239,500",2013
"AON Corp (AON plc)","UK/AON PLC","$98,500","$52,000","$46,500",2013
"APL Maritime (CMA CGM)","France/CMA CGM SA","$19,000","$8,000","$11,000",2013
"Aptiv PLC","Ireland/Aptiv PLC","$10,350","$5,350","$5,000",2013
"Arcadis US (Arcadis NV)","Netherlands/Arcadis NV","$1,000","$0","$1,000",2013
"Arch Capital Group (US)","UK/Arch Capital Group","$8,500","$5,500","$3,000",2013
"Arkema Inc","France/Arkema","$51,500","$27,000","$24,500",2013
"Ashton Woods Homes","Canada/Great Gulf Group","$2,500","$0","$2,500",2013
"Assured Guaranty Municipal Corp (Assured Guaranty Corp)","UK/Assured Guaranty Ltd","$112,100","$55,500","$56,600",2013
"Astellas US","Japan/Astellas Pharma","$145,500","$63,500","$82,000",2013
"AstraZeneca Pharmaceuticals (AstraZeneca PLC)","UK/AstraZeneca PLC","$310,750","$128,500","$182,250",2013
"Atkins North America","UK/SNC-Lavalin","$18,000","$5,000","$13,000",2013
"Austal USA","Australia/Austal Ltd","$50,200","$5,000","$45,200",2013
"Avangrid Inc (Iberdrola SA)","Spain/Iberdrola SA","$155,000","$103,000","$52,000",2013
"Bacardi USA","UK/Bacardi Ltd","$46,200","$19,500","$25,700",2013
"BAE Systems (BAE Systems)","UK/BAE Systems","$739,500","$320,000","$419,500",2013
"Barclays Group US","UK/Barclays plc","$123,000","$49,500","$73,500",2013
"Barrick Goldstrike Mines","Canada/Barrick Gold Corp","$14,500","$11,000","$3,500",2013
"BASF Corp","Germany/BASF SE","$412,000","$222,000","$190,000",2013
"Bayer Corp (Bayer AG)","Germany/Bayer AG","$209,500","$117,500","$92,000",2013
